Algorithm,Query Length,Implementation,Latency (ms),GCUPS
SW,64,Parasail,10234.70,1.300
SW,64,Optimised GPU Inter,1483.60,8.990
SW,128,Parasail,10918.20,2.440
SW,128,Optimised GPU Inter,2965.90,9.000
SW,192,Parasail,11849.30,3.380
SW,192,Optimised GPU Inter,4442.90,9.010
SW,256,Parasail,12922.40,4.130
SW,256,Optimised GPU Inter,5904.00,9.040
SW,384,Parasail,15058.00,5.320
SW,384,Optimised GPU Inter,8857.00,9.040
SW,512,Parasail,17245.30,6.190
SW,512,Optimised GPU Inter,11785.50,9.060
SW,768,Parasail,21637.10,7.400
SW,768,Optimised GPU Inter,17710.00,9.040
SW,1024,Parasail,26102.70,8.180
SW,1024,Optimised GPU Inter,23639.90,9.030
SW,2048,Parasail,44949.60,9.500
SW,2048,Optimised GPU Inter,47354.10,9.020
SW,4096,Parasail,81131.60,10.530
SW,4096,Optimised GPU Inter,94820.10,9.010
