Dataset,Implementation,Algorithm,Latency (ms),GCUPS
Uniform 8,Parasail,SW,110.4,3.36
Uniform 8,GPU Inter,SW,4.8,78.14
Uniform 16,Parasail,SW,178.9,4.15
Uniform 16,GPU Inter,SW,20.4,36.33
Uniform 32,Parasail,SW,308.1,4.82
Uniform 32,GPU Inter,SW,87.7,16.93
Uniform 64,Parasail,SW,562.6,5.28
Uniform 64,GPU Inter,SW,186.4,15.93
Uniform 128,Parasail,SW,1062.5,5.59
Uniform 128,GPU Inter,SW,376.0,15.80
Uniform 256,Parasail,SW,2068.1,5.74
Uniform 256,GPU Inter,SW,764.6,15.54
Uniform 512,Parasail,SW,4090.2,5.81
Uniform 512,GPU Inter,SW,1546.1,15.37
Uniform 768,Parasail,SW,6082.7,5.86
Uniform 768,GPU Inter,SW,2298.4,15.50
Uniform 1024,Parasail,SW,8113.5,5.86
Uniform 1024,GPU Inter,SW,3075.3,15.45
Swiss-Prot,Parasail,SW,2915.8,5.79
Swiss-Prot,GPU Inter,SW,2709.9,6.23
