Algorithm,Sequence Length,Implementation,Latency (ms),GCUPS
NW,64,GPU Inter,1.80,1.670
NW,64,Parasail,1.20,2.450
NW,64,GPU Intra,31.90,0.090
NW,128,GPU Inter,8.20,0.730
NW,128,Parasail,2.30,2.550
NW,128,GPU Intra,35.30,0.170
NW,256,GPU Inter,20.20,0.590
NW,256,Parasail,4.30,2.740
NW,256,GPU Intra,44.00,0.270
NW,512,GPU Inter,40.30,0.590
NW,512,Parasail,8.80,2.690
NW,512,GPU Intra,46.90,0.510
NW,1024,GPU Inter,61.50,0.770
NW,1024,Parasail,17.10,2.780
NW,1024,GPU Intra,75.60,0.630
NW,2048,GPU Inter,283.10,0.340
NW,2048,Parasail,34.20,2.780
NW,2048,GPU Intra,133.70,0.710
NW,4096,GPU Inter,568.80,0.330
NW,4096,Parasail,68.40,2.780
NW,4096,GPU Intra,247.10,0.770
NW,8192,GPU Inter,1137.30,0.330
NW,8192,Parasail,131.90,2.880
NW,8192,GPU Intra,477.10,0.800
NW,16384,GPU Inter,2275.10,0.330
NW,16384,Parasail,268.70,2.830
NW,16384,GPU Intra,946.00,0.800
NW,32768,GPU Inter,9138.30,0.170
NW,32768,Parasail,962.40,1.580
NW,32768,GPU Intra,3392.70,0.450
SW,64,GPU Inter,1.40,2.140
SW,64,Parasail,0.60,4.680
SW,64,GPU Intra,24.80,0.120
SW,128,GPU Inter,6.40,0.920
SW,128,Parasail,1.20,4.960
SW,128,GPU Intra,27.70,0.210
SW,256,GPU Inter,15.50,0.760
SW,256,Parasail,2.20,5.320
SW,256,GPU Intra,33.80,0.350
SW,512,GPU Inter,31.00,0.770
SW,512,Parasail,4.30,5.570
SW,512,GPU Intra,47.60,0.500
SW,1024,GPU Inter,61.90,0.770
SW,1024,Parasail,8.40,5.650
SW,1024,GPU Intra,76.30,0.620
SW,2048,GPU Inter,285.70,0.330
SW,2048,Parasail,16.80,5.670
SW,2048,GPU Intra,133.00,0.710
SW,4096,GPU Inter,573.40,0.330
SW,4096,Parasail,33.20,5.720
SW,4096,GPU Intra,249.50,0.760
SW,8192,GPU Inter,1146.60,0.330
SW,8192,Parasail,65.80,5.780
SW,8192,GPU Intra,483.90,0.790
SW,16384,GPU Inter,2293.60,0.330
SW,16384,Parasail,129.90,5.850
SW,16384,GPU Intra,957.30,0.790
SW,32768,GPU Inter,4601.30,0.330
SW,32768,Parasail,262.10,5.800
SW,32768,GPU Intra,1903.20,0.800
