Algorithm,Query Length,Threshold,Implementation,Latency (ms),GCUPS
SW,128,512,GPU Hybrid,48956.30,0.550
SW,128,1024,GPU Hybrid,16573.40,1.610
SW,128,2048,GPU Hybrid,6143.00,4.340
SW,128,4096,GPU Hybrid,2976.40,8.970
SW,128,8192,GPU Hybrid,2191.50,12.180
SW,128,12288,GPU Hybrid,2202.20,12.120
SW,128,16384,GPU Hybrid,2296.90,11.620
SW,128,Pure Inter,GPU Hybrid,2955.20,9.030
SW,128,N/A,Parasail,10917.60,2.440
SW,464,512,GPU Hybrid,73525.40,1.320
SW,464,1024,GPU Hybrid,25363.30,3.810
SW,464,2048,GPU Hybrid,11665.40,8.290
SW,464,4096,GPU Hybrid,7951.00,12.170
SW,464,8192,GPU Hybrid,7369.80,13.130
SW,464,12288,GPU Hybrid,7722.60,12.530
SW,464,16384,GPU Hybrid,8183.10,11.820
SW,464,Pure Inter,GPU Hybrid,10710.00,9.030
SW,464,N/A,Parasail,16603.10,5.830
SW,2048,512,GPU Hybrid,179211.40,2.380
SW,2048,1024,GPU Hybrid,66323.20,6.440
SW,2048,2048,GPU Hybrid,38372.70,11.130
SW,2048,4096,GPU Hybrid,31659.00,13.490
SW,2048,8192,GPU Hybrid,31872.80,13.400
SW,2048,12288,GPU Hybrid,33804.60,12.630
SW,2048,16384,GPU Hybrid,36031.60,11.850
SW,2048,Pure Inter,GPU Hybrid,47324.60,9.020
SW,2048,N/A,Parasail,44002.90,9.700
NW,128,8192,GPU Hybrid,2219.90,12.020
NW,464,8192,GPU Hybrid,7385.60,13.100
NW,2048,8192,GPU Hybrid,31879.80,13.390
